Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,3-May-21,1994.5,1966,1979,1943.1,1956,1959.05,1958.46,10909942,21366639469,343806,3800598,34.84
RELIANCE,EQ,4-May-21,1959.05,1950,1967.8,1911,1918,1916.6,1935.83,10083693,19520330406,325798,4435071,43.98
RELIANCE,EQ,5-May-21,1916.6,1923.35,1938.5,1908.05,1921.5,1920.1,1923.26,5719649,11000363969,190990,1762417,30.81
RELIANCE,EQ,6-May-21,1920.1,1921.85,1935,1906.6,1932,1931,1920.95,6749281,12965019709,221666,2830835,41.94
RELIANCE,EQ,7-May-21,1931,1937.75,1955.65,1926,1926.8,1931.75,1940.01,5671163,11002130529,188670,2418447,42.64
RELIANCE,EQ,10-May-21,1931.75,1939,1946.8,1920.95,1927.1,1926.2,1932.02,6433879,12430361107,197986,2996697,46.58
RELIANCE,EQ,11-May-21,1926.2,1915,1938.55,1910,1933.9,1933.15,1929.4,6220217,12001288654,175976,3035544,48.8
RELIANCE,EQ,12-May-21,1933.15,1930.1,1932.9,1907,1913.05,1913.15,1915.34,6081627,11648380362,212378,2760797,45.4
RELIANCE,EQ,14-May-21,1913.15,1928.05,1942,1906,1937,1937.3,1925.2,6134079,11809311728,227142,2202511,35.91
RELIANCE,EQ,17-May-21,1937.3,1937.3,1963.45,1930.4,1958.85,1960.35,1950.25,5479424,10686267806,164252,2006899,36.63
RELIANCE,EQ,18-May-21,1960.35,1981,2002.6,1972.5,1986,1987.95,1987.92,5567958,11068682259,184906,1952871,35.07
RELIANCE,EQ,19-May-21,1987.95,1980,2016.45,1972,1993,1997.05,1998.55,7530294,15049677721,198257,2310132,30.68
RELIANCE,EQ,20-May-21,1997.05,1997.9,2010.9,1981,1982,1985.4,1991.75,5271497,10499527490,158144,2175806,41.27
RELIANCE,EQ,21-May-21,1985.4,1992,2009.6,1986,1999.6,2002.55,1999.87,4977555,9954441992,182141,1909912,38.37
RELIANCE,EQ,24-May-21,2002.55,2008,2009.8,1982,1985.05,1985.65,1994.09,3946636,7869936695,130059,1599399,40.53
RELIANCE,EQ,25-May-21,1985.65,1996.4,1997,1960,1964,1963.15,1974.34,6821015,13466976071,208558,4040447,59.24
RELIANCE,EQ,26-May-21,1963.15,1975,1979.5,1965.3,1967,1970.05,1972.33,3452113,6808700909,118469,1452399,42.07
RELIANCE,EQ,27-May-21,1970.05,1970.3,1993,1962.25,1990,1976.1,1977.57,12377100,24476588080,219255,7857043,63.48
RELIANCE,EQ,28-May-21,1976.1,1990,2105,1990,2094.45,2094.8,2067.42,26060864,53878791590,642384,7383808,28.33
RELIANCE,EQ,31-May-21,2094.8,2102,2191.7,2085.05,2153.5,2160.3,2154.29,27285782,58781421579,624166,7125331,26.11
RELIANCE,EQ,1-Jun-21,2160.3,2166,2202,2146.5,2164.3,2168.9,2176.52,12928379,28138892609,390299,3398513,26.29
RELIANCE,EQ,2-Jun-21,2168.9,2157,2209.5,2157,2207,2201.25,2178.64,11366816,24764187585,258490,5460571,48.04
RELIANCE,EQ,3-Jun-21,2201.25,2221,2250,2196.1,2208,2209.65,2221.49,11064116,24578878323,341728,3241763,29.3
RELIANCE,EQ,4-Jun-21,2209.65,2214.8,2216.45,2184.25,2186.9,2190.5,2197.67,6677278,14674474226,219435,2770956,41.5
RELIANCE,EQ,7-Jun-21,2190.5,2202,2242,2185,2225.05,2227.4,2214.78,7539326,16697958782,227808,2439654,32.36
RELIANCE,EQ,8-Jun-21,2227.4,2226.6,2227.15,2198.15,2211.5,2214.6,2213.34,4464889,9882332306,147771,1548468,34.68
RELIANCE,EQ,9-Jun-21,2214.6,2219,2221,2157.95,2178,2175,2189.57,5265326,11528803336,167739,1817182,34.51
RELIANCE,EQ,10-Jun-21,2175,2193.4,2230,2177.55,2184.8,2183,2199.39,6532832,14368272855,215752,1927662,29.51
RELIANCE,EQ,11-Jun-21,2183,2182.9,2228,2180.1,2215.8,2213.15,2214.24,6351520,14063817595,226319,1955394,30.79
RELIANCE,EQ,14-Jun-21,2213.15,2215,2258.25,2195.05,2245,2244.9,2232.14,9383416,20945097795,284426,2698433,28.76
RELIANCE,EQ,15-Jun-21,2244.9,2261,2274.9,2240.3,2244,2250,2257.44,7002898,15808611100,215805,2501188,35.72
RELIANCE,EQ,16-Jun-21,2250,2244.9,2247.05,2205.85,2209.55,2211.6,2223.78,4982975,11081047107,163887,1901607,38.16
RELIANCE,EQ,17-Jun-21,2211.6,2200,2235,2179.9,2214.15,2215.65,2212.43,7266765,16077176563,225832,2716466,37.38
RELIANCE,EQ,18-Jun-21,2215.65,2225.5,2235,2184.35,2224.15,2225.65,2216.48,13553801,30041725160,221167,6806773,50.22
RELIANCE,EQ,21-Jun-21,2225.65,2203.5,2247.5,2200.15,2238.95,2237.25,2225.6,5624044,12516852292,180220,1583246,28.15
RELIANCE,EQ,22-Jun-21,2237.25,2254,2261,2219.35,2225,2225.75,2245.45,5940386,13338860847,180362,2507156,42.21
RELIANCE,EQ,23-Jun-21,2225.75,2250,2250.6,2201.7,2208.15,2205.35,2217.44,7685796,17042762229,214835,3994464,51.97
RELIANCE,EQ,24-Jun-21,2205.35,2206.85,2214.6,2140,2147.8,2153.5,2174.85,42209687,91799804633,755278,15742153,37.3
RELIANCE,EQ,25-Jun-21,2153.5,2153.5,2153.5,2081.1,2104.5,2104.45,2106.02,25546334,53801077040,629847,9894247,38.73
RELIANCE,EQ,28-Jun-21,2104.45,2122,2126.5,2081,2089,2086,2100.31,9357852,19654379828,286857,4383331,46.84
RELIANCE,EQ,29-Jun-21,2086,2089.5,2109,2084.1,2090,2087.8,2091.92,12526981,26205456483,267376,6733274,53.75
RELIANCE,EQ,30-Jun-21,2087.8,2096.25,2122.65,2091.05,2112,2110.65,2107.86,9120556,19224881425,251722,4591548,50.34
RELIANCE,EQ,1-Jul-21,2110.65,2118,2123.15,2095,2101.5,2097.95,2109.37,5784627,12201907893,196897,2924644,50.56
RELIANCE,EQ,2-Jul-21,2097.95,2097,2132.9,2092.95,2131.55,2129.05,2120.31,6500973,13784074726,187794,3363482,51.74
RELIANCE,EQ,5-Jul-21,2129.05,2136.45,2153.55,2131.5,2150,2150.2,2145.57,5400604,11587348897,175055,3073627,56.91
RELIANCE,EQ,6-Jul-21,2150.2,2144.95,2148.9,2120.2,2127.85,2124.8,2136.74,4647361,9930224311,125408,2476450,53.29
RELIANCE,EQ,7-Jul-21,2124.8,2127.75,2127.75,2098,2112,2110.05,2109.85,4824931,10179875557,227151,2480476,51.41
RELIANCE,EQ,8-Jul-21,2110.05,2116.95,2116.95,2081,2091,2092.6,2097.58,5162088,10827897142,223120,2689326,52.1
RELIANCE,EQ,9-Jul-21,2092.6,2088,2091.7,2066.1,2071.95,2071.2,2074.82,4170886,8653818442,169203,2009477,48.18
RELIANCE,EQ,12-Jul-21,2071.2,2079.75,2101.5,2074.5,2081.95,2084.1,2088.16,3962111,8273507306,140597,1592814,40.2
RELIANCE,EQ,13-Jul-21,2084.1,2100,2103.05,2088.05,2099,2099.7,2097.12,3099956,6500981051,106030,1601381,51.66
RELIANCE,EQ,14-Jul-21,2099.7,2100.35,2106.85,2081.25,2083.55,2086,2090.03,3937768,8230064622,169306,2134737,54.21
RELIANCE,EQ,15-Jul-21,2086,2095,2095,2078.5,2080.75,2082.35,2086.62,4360415,9098550275,148981,2715754,62.28
RELIANCE,EQ,16-Jul-21,2082.35,2087.75,2114.75,2087.6,2110,2112.4,2104.6,4074206,8574569195,126660,1881604,46.18
RELIANCE,EQ,19-Jul-21,2112.4,2100,2124,2092.25,2097.95,2098.95,2108.57,3855577,8129763378,129037,1752416,45.45
